"id","title","years","duration","rating","people_rating","critic_rating","votes"
10857,"Murder at 1600","1997","107","R","6.1","47","32,484"
10858,"The Gold Rush","1925","95","U","8.1",NULL,"116,786"
10859,"The Savages","2007","114","15","7.1","85","38,405"
10860,"Paradise Lost: The Child Murders at Robin Hood Hills","1996","150","Not Rated","8.2",NULL,"17,819"
10861,"I Am Rage","2023","89",NULL,"5.2",NULL,"988"
10862,"Breakout","2012","90","12","4.7",NULL,"1,174"
10863,"Ski Patrol","1990","91","PG","5.1","13","4,056"
10864,"The Hummingbird","2022","126",NULL,"6.4",NULL,"1,212"
10865,"The Addams Family 2","2021","93","PG","5.4","37","15,137"
10866,"Jeff, Who Lives at Home","2011","83","15","6.4","60","65,260"
10867,"Renaissance Man","1994","128","12","6.2","44","18,795"
10868,"The Road to Wellville","1994","118","18","5.9",NULL,"13,025"
10869,"Cell 211","2009","113","18","7.6",NULL,"70,050"
10870,"The Sons of Katie Elder","1965","122","U","7.1","72","18,786"
10871,"Hostile Territory","2022","94","15","4.8",NULL,"760"
10872,"The Private Lives of Pippa Lee","2009","98","15","6.3","49","14,109"
10873,"Rubikon","2022","110","15","5.0","49","3,892"
10874,"Crazy in Alabama","1999","111","12","6.2","46","7,272"
10875,"Hit the Road","2021","93","12A","7.3","90","5,852"
10876,"Addicted to Love","1997","100","15","6.1","49","25,448"
10877,"The Breed","2006","91","15","5.1",NULL,"14,010"
10878,"Samosa & Sons","2023","91",NULL,"6.1",NULL,"36"
10879,"In a Valley of Violence","2016","104","15","6.1","64","20,498"
10880,"Testament","1983","90","PG","6.9","71","6,995"
10881,"The Wonder of Sex","2000","100","15","6.3",NULL,"3,604"
10882,"Zulu","2013","110","18","6.7",NULL,"19,659"
10883,"The Rosie Project",NULL,"N/A",NULL,NULL,NULL,"N/A"
10884,"Space Oddity","2022","92","12","5.4",NULL,"1,049"
10885,"A Moment to Remember","2004","117","PG-13","8.1",NULL,"25,188"
10886,"Alfie","1966","114","X","7.0","70","15,540"
10887,"Future World","2018","88","15","3.3","10","6,741"
10888,"Appointment with Death","1988","108","PG","6.1",NULL,"5,764"
10889,"The Second Best Exotic Marigold Hotel","2015","122","PG","6.5","51","35,451"
10890,"Last Days","2005","97","15","5.7","67","23,530"
10891,"I.T.","2016","95","15","5.5","27","16,751"
10892,"The Eyes of My Mother","2016","76","15","6.2","63","14,146"
10893,"The Killer Is Loose","1956","73","A","6.6",NULL,"2,421"
10894,"LBJ","2016","98","R","6.5","54","7,536"
10895,"Barney's Version","2010","134","15","7.3","67","25,951"
10896,"Sunset Strip","2000","90","15","5.5","33","1,784"
10897,"Senseless","1998","93","15","6.0","36","17,506"
10898,"Only the Strong","1993","99","PG-13","6.5",NULL,"6,720"
10899,"Duplex","2003","89","12A","5.9","50","60,068"
10900,"Under the Shadow","2016","84","15","6.8","83","29,667"
10901,"Butterfly on a Wheel","2007","95","15","6.6",NULL,"33,306"
10902,"Message in a Bottle","1999","126","12","6.2","39","39,956"
10903,"Chisum","1970","111","U","6.8",NULL,"10,713"
10904,"Fortress","1992","95","15","5.9","48","30,093"
10905,"Always, Lola","2022","87",NULL,"8.6",NULL,"20"
10906,"Shirley Valentine","1989","108","15","7.2","52","8,717"
10907,"Under Fire","1983","128","15","7.0","72","8,346"
10908,"Army of One","2016","92","15","5.2","43","8,702"
10909,"The Replacement Killers","1998","87","18","6.1","42","30,227"
10910,"Crooklyn","1994","115","12","7.0","65","11,127"
10911,"Nobody Sleeps in the Woods Tonight","2020","102","18","4.9",NULL,"13,659"
10912,"This Island Earth","1955","86","PG","5.9",NULL,"10,529"
10913,"Paruthiveeran","2007","162","Not Rated","8.2",NULL,"3,961"
10914,"Beyond the Reach","2014","91","12A","5.6","34","10,936"
10915,"Overhaul","2023","107","15","4.8",NULL,"711"
10916,"The Last Boy on Earth","2023","97","15","3.6",NULL,"169"
10917,"Little Murders","1971","108","X","6.9",NULL,"3,393"
10918,"Short Circuit 2","1988","110","PG","5.7",NULL,"26,492"
10919,"The Postman","1994","108","U","7.8","81","38,507"
10920,"Chestnut","2023","87",NULL,"7.4",NULL,"32"
10921,"Changing Lanes","2002","98","15","6.5","69","73,828"
10922,"Moonshot","2022","104","12","5.6","58","6,151"
10923,"Out in the Dark","2012","96","15","7.5","69","9,063"
10924,"Last Exit to Brooklyn","1989","102","15","6.8","62","6,780"
10925,"And So It Goes","2014","94","12","5.9","38","15,061"
10926,"Slaughter High","1986","90","R","5.3",NULL,"6,856"
10927,"The 15:17 to Paris","2018","94","15","5.3","45","35,193"
10928,"Cannibal Ferox II","1985","88","Unrated","5.1",NULL,"2,346"
10929,"A Lonely Place to Die","2011","99","15","6.2",NULL,"30,437"
10930,"Mamasapano: Now It Can Be Told","2022","162",NULL,"4.0",NULL,"46"
10931,"Double Threat","2022","92",NULL,"4.7",NULL,"1,215"
10932,"Well Done!","2023","100",NULL,"6.3",NULL,"104"
10933,"Butterfield 8","1960","109","15","6.3","48","7,199"
10934,"When It Melts","2023","111",NULL,"7.5",NULL,"614"
10935,"Hannie Caulder","1971","85","AA","6.3","48","4,067"
10936,"Satan's Slaves 2: Communion","2022","119","15","6.7",NULL,"3,319"
10937,"Tigers Are Not Afraid","2017","83","15","6.9","76","8,625"
10938,"Rapture","1979","115","18","6.9","80","3,236"
10939,"Pootie Tang","2001","81","15","5.3","31","14,906"
10940,"The Christmas Dragon","2014","106","PG","4.5",NULL,"802"
10941,"Ali & Ava","2021","95","15","6.7","75","2,811"
10942,"No Highway in the Sky","1951","99","U","7.1",NULL,"4,304"
10943,"Make Me Believe","2023","104","TV-14","5.6",NULL,"2,526"
10944,"Die, My Love",NULL,"N/A",NULL,NULL,NULL,"N/A"
10945,"Everybody's Fine","2009","100","12A","7.1","47","63,429"
10946,"Tromeo and Juliet","1996","107","18","6.0",NULL,"6,760"
10947,"Thanks for Sharing","2012","112","15","6.4","54","29,330"
10948,"Sherlock Jr.","1924","N/A","U","8.2",NULL,"55,105"
10949,"Mr. Majestyk","1974","103","X","6.7","55","9,499"
10950,"LX 2048","2020","103",NULL,"4.9","61","1,884"
10951,"Gandu","2010","85","18","5.5",NULL,"2,686"
10952,"Mack & Rita","2022","94","PG-13","4.8","49","1,939"
10953,"Carry on Screaming","1966","97","A","6.7",NULL,"5,666"
10954,"Trick or Treat","1986","98","18","5.8","57","7,708"
10955,"Greatest Days","2023","112","12A","5.8","47","1,220"
10956,"Bloodline","2018","97","18","6.0","50","8,819"
10957,"Slow","2023","108",NULL,"7.5",NULL,"764"
10958,"Solo","2018","91","12","5.0",NULL,"3,148"
10959,"Lucky Bastard","2014","94","NC-17","4.4","36","1,142"
10960,"The Skulls","2000","106","15","5.6","24","33,396"
10961,"Sniper: Rogue Mission","2022","96","R","4.6",NULL,"1,465"
10962,"Strange Wilderness","2008","87","15","5.2","12","22,584"
10963,"Breakheart Pass","1975","95","A","6.7",NULL,"8,459"
10964,"The Cheerleaders","1973","84","X","5.4",NULL,"1,427"
10965,"Settlers","2021","103","15","4.8","56","5,742"
10966,"Michael Kohlhaas","2013","122","15","6.1","51","9,022"
10967,"Burn All My Letters","2022","120",NULL,"6.2",NULL,"1,305"
10968,"The Prowler","1981","89","X","5.9","45","12,703"
10969,"Silo","2019","76",NULL,"5.8","43","402"
10970,"Personality Crisis: One Night Only","2022","120",NULL,"7.1","80","325"
10971,"Mainstream","2020","94","15","5.0","36","5,174"
10972,"Black Box","2020","100","15","6.2","62","16,702"
10973,"Fireflies in the Garden","2008","99","15","6.4","34","13,475"
10974,"Belzebuth","2017","114","18","6.0",NULL,"3,971"
10975,"Catch and Release","2006","124","12A","5.9","43","28,251"
10976,"The Legend of Hell House","1973","95","X","6.7","56","13,841"
10977,"Indiscreet","1958","100","A","6.7",NULL,"9,945"
10978,"Mortal Passions","1989","92","18","4.4",NULL,"476"
10979,"Fascination","1979","80","18","6.0",NULL,"3,454"
10980,"The War","1994","126","12","6.7",NULL,"13,397"
10981,"Shattered","1991","98","15","6.5",NULL,"11,092"
10982,"Seconds","1966","106","R","7.6","71","21,658"
10983,"Bursa Bülbülü","2023","120","16","6.8",NULL,"6,726"
10984,"Wer","2013","93","18","5.9",NULL,"9,490"
10985,"O","2001","95","15","6.1","53","21,793"
10986,"Your Sister's Sister","2011","90","15","6.7","72","28,200"
10987,"Ned Kelly","2003","110","15","6.4","56","27,846"
10988,"Children of Paradise","1945","189","A","8.3","96","20,860"
10989,"5 to 7","2014","95","12","7.1","52","21,137"
10990,"Omen","2023","90",NULL,"6.3",NULL,"267"
10991,"Zatoichi: The Blind Swordsman","2003","116","18","7.5","75","51,082"
10992,"Twilight","1998","94","15","6.2",NULL,"13,902"
10993,"The Island of Dr. Moreau","1977","99","A","5.9",NULL,"7,008"
10994,"Agent","2023","156","15","4.1",NULL,"1,214"
10995,"Gambit","2012","89","12A","5.7",NULL,"25,729"
10996,"Killer Workout","1987","85","18","4.7",NULL,"2,619"
10997,"Dashcam","2021","80","18","4.6","48","5,516"
10998,"Maximum Risk","1996","101","R","5.5",NULL,"23,592"
10999,"Kids vs. Aliens","2022","75","TV-MA","5.1","51","1,331"
11000,"Holiday","2018","93","18","5.7","80","4,456"
11001,"The Manhattan Project","1986","117","PG","6.1","61","6,733"
11002,"Trojan War","1997","84","12","5.6",NULL,"6,549"
11003,"11:14","2003","86","15","7.1","65","49,504"
11004,"The Pink Panther 2","2009","92","PG","5.6","36","47,544"
11005,"Come True","2020","105","15","6.0","68","10,698"
11006,"Where the Red Fern Grows","1974","97","U","6.8","49","3,693"
11007,"A Gingerbread Christmas","2022","85",NULL,"5.9",NULL,"343"
11008,"Ransom","1974","97","A","5.6",NULL,"2,430"
11009,"Laws of Attraction","2004","90","12A","5.8","38","24,317"
11010,"Niagara","1953","92","A","7.0","70","19,366"
11011,"The Killing of Two Lovers","2020","85","15","6.8","82","5,080"
11012,"Zorba the Greek","1964","142","X","7.6",NULL,"23,800"
11013,"Up!","1976","80","18","5.8",NULL,"3,153"
11014,"The Final Girl","2010","80","TV-MA","3.6",NULL,"347"
11015,"A Wine Country Christmas","2023","N/A",NULL,NULL,NULL,"N/A"
11016,"The Toolbox Murders","1978","93","R","5.2","35","4,809"
11017,"Jack's Back","1988","97","18","5.8",NULL,"3,946"
11018,"Bedre tider","2023","N/A",NULL,NULL,NULL,"N/A"
11019,"Roll Bounce","2005","112","PG","6.2","59","7,727"
11020,"Little Fish","2020","101","15","6.9","71","6,892"
11021,"The Woods","2006","91","15","5.6",NULL,"12,191"
11022,"We Summon the Darkness","2019","91","15","5.2","55","11,640"
11023,"Earth vs. the Flying Saucers","1956","83","U","6.3",NULL,"8,864"
11024,"American Flyers","1985","113","PG","6.5","50","6,510"
11025,"Camp Pleasant Lake","2024","N/A",NULL,NULL,NULL,"N/A"
11026,"Justice League Part Two",NULL,"N/A",NULL,NULL,NULL,"N/A"
11027,"The Book of Jobs",NULL,"N/A",NULL,NULL,NULL,"N/A"
11028,"AA 23",NULL,"N/A",NULL,NULL,NULL,"N/A"
11029,"After the Wedding","2019","112","12A","6.3","50","8,406"
11030,"One Delicious Christmas","2022","84",NULL,"6.1",NULL,"160"
11031,"Condition of Return","2023","93",NULL,"7.7",NULL,"62"
11032,"Son of Godzilla","1967","86","PG","5.2",NULL,"5,491"
11033,"Zero Day","2002","92","Not Rated","7.2","69","4,675"
11034,"Dangerous Lies","2020","96","12","5.3","51","18,352"
11035,"In Broad Daylight","2023","106","18","7.7",NULL,"252"
11036,"The Most Dangerous Game","2022","95","15","3.4",NULL,"501"
11037,"Anything for Jackson","2020","97","Not Rated","6.3","67","10,108"
11038,"The Undefeated","1969","119","U","6.6","48","7,428"
11039,"Apollo 11","2019","93","U","8.1","88","26,833"
11040,"Star Trek: Section 31","2025","N/A",NULL,NULL,NULL,"N/A"
11041,"Toy Story 5",NULL,"N/A",NULL,NULL,NULL,"N/A"
11042,"Double Team","1997","93","18","4.8","44","36,146"
11043,"Orgasmo","1969","91","X","6.0",NULL,"1,552"
11044,"Lift to the Scaffold","1958","91","A","7.9","94","28,036"
11045,"Blood Creek","2009","90","18","5.3",NULL,"12,806"
11046,"The Performance","2023","N/A",NULL,"9.0",NULL,"22"
11047,"Naked Normandy","2018","105",NULL,"5.9",NULL,"1,166"
11048,"Always: Sunset on Third Street","2005","133",NULL,"7.7",NULL,"2,404"
11049,"Saaho","2019","170","15","5.0",NULL,"21,994"
11050,"Wait with Me","2023","N/A",NULL,"5.7",NULL,"613"
11051,"DeepStar Six","1989","99","15","5.3","34","12,893"
11052,"Come As You Are","2019","106","15","7.0","71","4,135"
11053,"Talk 2 Me",NULL,"N/A",NULL,NULL,NULL,"N/A"
11054,"Lipstick","1976","89","X","5.6","37","2,661"
11055,"Meteor","1979","108","A","5.0","27","8,006"
11056,"Herd","2023","97","15","3.7",NULL,"531"
11057,"Foreign Correspondent","1940","120","A","7.4","89","23,040"
11058,"Battle Star Wars","2020","86","12","2.0",NULL,"713"
11059,"The Madness of King George","1994","110","PG","7.2","89","17,914"
11060,"Frozen River","2008","97","15","7.1","82","26,275"
11061,"Spring Break '83",NULL,"N/A",NULL,NULL,NULL,"N/A"
11062,"A Raunchy Christmas Story","2018","72","TV-MA","1.7",NULL,"132"
11063,"Don't Fuck in the Woods","2016","73","Unrated","2.9",NULL,"1,694"
11064,"Loving Annabelle","2006","77","15","6.3",NULL,"13,315"
11065,"The Limey","1999","89","18","6.9","73","34,332"
11066,"Asterix and Obelix Take on Caesar","1999","109","PG","6.0",NULL,"44,727"
11067,"Fame","2009","107","PG","5.0","39","16,807"
11068,"Beyond Borders","2003","127","15","6.4","32","28,919"
11069,"Pawn","2020","113","Not Rated","7.6",NULL,"1,534"
11070,"It Only Takes a Night","2023","94",NULL,"7.1",NULL,"384"
11071,"Pumping Iron","1977","86","12","7.3","72","24,544"
11072,"Jack","2014","103",NULL,"7.2",NULL,"1,333"
11073,"Between Us","2023","100",NULL,"5.2",NULL,"190"
11074,"Backspot","2023","93",NULL,"6.6",NULL,"38"
11075,"Batman: The Long Halloween","2021","168","R","7.5",NULL,"2,116"
11076,"Ricochet","1991","102","R","6.2","49","19,763"
11077,"The Little Mermaid","2018","85","PG","4.3",NULL,"9,489"
11078,"Performance","1970","105","X","6.7",NULL,"11,180"
11079,"Hot Girls Wanted","2015","84","18","6.1",NULL,"18,341"
11080,"Sultan","2016","170","12A","7.0",NULL,"50,780"
11081,"Ett sista race","2023","111",NULL,NULL,NULL,"N/A"
11082,"Grandview, U.S.A.","1984","97","15","5.5","55","2,218"
11083,"Gods and Monsters","1998","105","15","7.3","74","32,478"
11084,"Homestead",NULL,"N/A",NULL,NULL,NULL,"N/A"
11085,"Bushwhacked","1995","90","PG","5.6",NULL,"6,766"
11086,"How Stella Got Her Groove Back","1998","124","15","5.7","56","8,148"
11087,"The Newton Boys","1998","122","15","6.1","57","12,217"
11088,"Pure","2010","97","Not Rated","6.9",NULL,"4,904"
11089,"Love Strange Love","1982","97",NULL,"5.8",NULL,"1,336"
11090,"The Invisible Woman","2013","111","12A","6.1","75","10,340"
11091,"The Presidio","1988","97","15","5.9","31","19,760"
11092,"The Magnificent Ambersons","1942","88","U","7.6","93","26,248"
11093,"Teen Titans GO! to the Movies","2018","84","PG","6.7","69","21,236"
11094,"Daughters of Darkness","1971","87","X","6.5","74","6,844"
11095,"Snabba cash","2010","124","15","6.7","75","19,500"
11096,"How To Talk To Girls At Parties","2017","102","15","5.7","50","12,126"
11097,"Rang De Basanti","2006","167","15","8.1",NULL,"121,603"
11098,"Looking Glass","2018","103","18","4.7","33","7,645"
11099,"Lost Bullet","2020","92","15","6.3","78","13,802"
11100,"Nutcracker and the Magic Flute","2022","90","PG","5.2",NULL,"179"
11101,"No Man's Land","2001","98","15","7.9","84","48,442"
11102,"Flawless","2007","108","12A","6.7","57","25,885"
11103,"RDX: Robert Dony Xavier","2023","151","15","7.2",NULL,"4,188"
11104,"The Opposite of Sex","1998","105","18","6.4","70","21,648"
11105,"Paris Paramount",NULL,"N/A",NULL,NULL,NULL,"N/A"
11106,"Misconduct","2016","106","15","5.3","24","17,488"
11107,"Madea's Big Happy Family","2011","106","PG-13","4.8","45","8,536"
11108,"Two Hands","1999","103","15","7.1",NULL,"13,444"
11109,"Untitled Guy Ritchie's Project",NULL,"N/A",NULL,NULL,NULL,"N/A"
11110,"616 Wilford Lane","2021","85",NULL,"4.2",NULL,"622"
11111,"Sylvia Scarlett","1935","95","U","6.2",NULL,"4,457"
11112,"The Binge","2020","98","TV-MA","5.2","35","4,423"
11113,"Transit","2018","101","12A","6.9","82","11,502"
11114,"Waking Ned","1998","91","PG","7.3","71","27,685"
11115,"Fireworks","1997","103","18","7.7","83","32,549"
11116,"Jem and the Holograms","2015","118","PG","4.2","42","8,236"
11117,"Cheer or Die","2022","91","15","3.7",NULL,"718"
11118,"Fandango","1985","91","15","6.7",NULL,"8,588"
11119,"Admiral","2015","151","15","7.0",NULL,"10,275"
11120,"Inside the Yellow Cocoon Shell","2023","179",NULL,"6.7","93","393"
11121,"Smoking Causes Coughing","2022","77","15","6.5","74","4,042"
11122,"The In-Laws","2003","98","12A","5.7","46","17,745"
11123,"Only for One Night","2016","86","TV-14","4.4",NULL,"760"
11124,"Josee, the Tiger and the Fish","2020","99","PG","7.6",NULL,"7,174"
11125,"King",NULL,"N/A",NULL,NULL,NULL,"N/A"
11126,"Await Further Instructions","2018","91","15","4.9",NULL,"9,443"
11127,"Auto Focus","2002","105","18","6.6","66","14,717"
11128,"The Doll Squad","1973","92","X","4.3",NULL,"1,108"
11129,"Cold Brook","2018","100","PG","6.2","46","950"
11130,"Shoshana","2023","119",NULL,"7.6",NULL,"79"
11131,"Mark Antony","2023","150",NULL,"6.7",NULL,"4,438"
11132,"The Journey of Natty Gann","1985","101","PG","7.0","66","6,698"
11133,"Elegy","2008","112","15","6.7","66","23,075"
11134,"Austin Powers 4",NULL,"N/A",NULL,NULL,NULL,"N/A"
11135,"Conviction","2010","107","15","7.2","61","45,538"
11136,"A Fall from Grace","2020","120","15","5.9","34","16,723"
11137,"Christmas Eve","2015","95","PG","5.0","24","2,786"
11138,"Sanctum","2011","108","15","5.9","42","56,916"
11139,"The Yellow Sea","2010","157","18","7.3","70","22,584"
11140,"Blue Story","2019","91","15","6.3","69","8,048"
11141,"HouseSitter","1992","102","PG","6.2","52","26,473"
11142,"The Proud Rebel","1958","103","U","6.9",NULL,"2,177"
11143,"Northern Comfort","2023","97",NULL,"6.2",NULL,"303"
11144,"Mindscape","2013","99","15","6.4","42","24,863"
11145,"The Lost Weekend","1945","101","A","7.9",NULL,"39,488"
11146,"Aggro Dr1ft","2023","80",NULL,"5.6","43","155"
11147,"Bruised","2020","129","15","6.2","52","15,775"
11148,"Brainscan","1994","96","18","6.0",NULL,"12,644"
11149,"Duck Soup","1933","69","U","7.8","93","62,213"
11150,"Manos: The Hands of Fate","1966","70","Not Rated","1.6",NULL,"37,330"
11151,"Death Wish 4: The Crackdown","1987","99","18","5.4","46","10,806"
11152,"The Forge","2024","N/A",NULL,NULL,NULL,"N/A"
11153,"The House by the Cemetery","1981","86","(Banned)","6.1",NULL,"15,929"
11154,"Teaching Mrs. Tingle","1999","96","15","5.3","35","21,479"
11155,"Relay",NULL,"N/A",NULL,NULL,NULL,"N/A"
11156,"Six Swedish Girls in the Alps","1983","90",NULL,"4.5",NULL,"251"
11157,"Survival Island","2002","85","18","2.5",NULL,"4,504"
11158,"High Sierra","1940","100","A","7.5",NULL,"18,881"
11159,"Nothing Compares","2022","97","15","7.6","76","2,853"
11160,"Legionnaire","1998","99","15","5.5",NULL,"25,349"
11161,"The Ambush","2021","102","R","6.2",NULL,"2,225"
11162,"Appassionata","1974","96",NULL,"5.4",NULL,"850"
11163,"The Bedroom Window","1987","112","15","6.4","45","6,591"
11164,"Rogue City","2020","116","15","6.1",NULL,"9,742"
11165,"Anne of the Thousand Days","1969","145","A","7.4",NULL,"7,997"
11166,"The Prodigy","2019","92","15","5.9","45","27,978"
11167,"The Toxic Avenger Part II","1989","102","18","5.0",NULL,"7,200"
11168,"Porky's II: The Next Day","1983","98","X","5.0","38","12,609"
11169,"1946: The Mistranslation That Shifted Culture","2022","92",NULL,"8.3",NULL,"183"
11170,"Wrong Place","2022","96","15","3.5",NULL,"4,721"
11171,"Mon Roi","2015","124","15","7.1","68","13,951"
11172,"Critters 3","1991","86","12","4.4",NULL,"13,012"
11173,"The Man Who Knew Too Much","1934","75","A","6.7","77","20,673"
11174,"The Blue Bird","1940","88","U","6.2",NULL,"1,934"
11175,"The Brutalist",NULL,"N/A",NULL,NULL,NULL,"N/A"
11176,"Valiant","2005","76","U","5.5","45","24,109"
11177,"Bailey & Darla","2020","104","15","5.6","44","2,303"
11178,"The Anniversary Party","2001","115","18","6.3","56","8,656"
11179,"Sid Is Dead","2023","90","15","5.7",NULL,"445"
11180,"Aankh Micholi","2023","144",NULL,"8.9",NULL,"1,135"
11181,"Playing by Heart","1998","121","15","7.0","55","20,136"
11182,"A House on the Bayou","2021","88","15","5.6",NULL,"6,324"
11183,"Hope",NULL,"N/A",NULL,NULL,NULL,"N/A"
11184,"Hell Night","1981","101","X","5.6","36","8,545"
11185,"Soul Food","1997","115","15","7.0","68","8,821"
11186,"Confessions of a Window Cleaner","1974","90","X","4.7",NULL,"1,649"
11187,"Sudden Fear","1952","110","PG","7.5",NULL,"7,137"
11188,"Dreamer: Inspired by a True Story","2005","106","U","6.8","59","13,892"
11189,"Win a Date with Tad Hamilton!","2004","96","PG","5.6","52","29,198"
11190,"Halfway to Somewhere","2023","102",NULL,"6.0",NULL,"592"
11191,"Berserk: The Golden Age Arc III - The Advent","2013","110","18","7.8",NULL,"11,436"
11192,"The Marriage of Maria Braun","1979","120","AA","7.7",NULL,"14,661"
11193,"Night of The Demons II","1994","96","18","5.9",NULL,"6,352"
11194,"Singham Again","2024","N/A",NULL,NULL,NULL,"N/A"
11195,"Cross of Honour","2012","104","15","7.1",NULL,"22,145"
11196,"Insomnia","1997","96","15","7.2",NULL,"15,155"
11197,"Ball of Fire","1941","111","PG","7.7","78","13,744"
11198,"Say You Will","2017","95","TV-14","6.8",NULL,"738"
11199,"The Tiger","2015","139","15","7.2",NULL,"6,297"
11200,"Bigbug","2022","111","15","5.5","46","10,084"
11201,"Pit and the Pendulum","1961","80","X","7.0","78","16,093"
11202,"Eureka","2023","140",NULL,"6.3",NULL,"163"
11203,"Texasville","1990","126","15","6.0","49","2,965"
11204,"Tart","2001","94","R","4.7",NULL,"3,446"
11205,"One Wild Moment","2015","105","Not Rated","6.2",NULL,"10,246"
11206,"The Fabulous Four","2024","N/A",NULL,NULL,NULL,"N/A"
11207,"My Favorite Martian","1999","94","PG","5.1","33","14,275"
11208,"Book of Shadows: Blair Witch 2","2000","90","15","4.0","15","39,622"
11209,"Untitled Avatar: The Last Airbender Film 1","2025","N/A",NULL,NULL,NULL,"N/A"
11210,"Sweetwater","2023","118","PG-13","6.0",NULL,"1,085"
11211,"Silent Rage","1982","100","X","5.4","31","6,522"
11212,"Zappa","1983","103","Not Rated","7.3",NULL,"2,930"
11213,"Arthur","2011","110","12A","5.7","36","52,802"
11214,"Clementine","2019","90","15","5.1","55","869"
11215,"Thunderheart","1992","119","15","6.8","58","16,911"
11216,"The Hummingbird Project","2018","111","15","6.2","58","15,977"
11217,"Clockstoppers","2002","94","PG","5.2","40","14,969"
11218,"The Piano Lesson",NULL,"N/A",NULL,NULL,NULL,"N/A"
11219,"Titina","2022","91",NULL,"7.1",NULL,"411"
11220,"Lone Wolf McQuade","1983","107","18","6.3","65","13,536"
11221,"Te estoy amando locamente","2023","106",NULL,"7.3",NULL,"671"
11222,"On Chesil Beach","2017","110","15","6.3","62","12,150"
11223,"I Got a Monster","2023","90",NULL,"6.5",NULL,"198"
11224,"An Impossible Love","2018","135","15","7.0",NULL,"2,549"
11225,"Untitled Backrooms Feature Film","2024","N/A",NULL,NULL,NULL,"N/A"
11226,"Ravenous","2017","104","18","5.8",NULL,"10,016"
11227,"Rocket Gibraltar","1988","99","PG","6.5",NULL,"2,133"
11228,"Tarzan and His Mate","1934","104","U","7.2",NULL,"5,463"
11229,"Jolene","2008","121","R","6.4","31","5,080"
11230,"Hot Seat","2022","99","15","4.3",NULL,"3,217"
11231,"The Eight Hundred","2020","149","15","6.7","64","6,878"
11232,"The In-Laws","1979","103","A","7.3","69","9,862"
11233,"Bigfoot Family","2020","89","PG","5.8",NULL,"3,402"
11234,"Deadly Virtues: Love.Honour.Obey.","2014","87","18","4.8",NULL,"1,653"
11235,"Planet 51 (Planet One)","2009","91","U","6.0","39","57,898"
11236,"The Incredible Mr. Limpet","1964","99","U","6.5",NULL,"5,829"
11237,"The Rally","2010","90","PG-13","6.0",NULL,"109"
11238,"Nights in Rodanthe","2008","97","PG","6.0","39","26,074"
11239,"The Killer's Game",NULL,"N/A",NULL,NULL,NULL,"N/A"
11240,"Intruder","1989","83","18","6.1",NULL,"10,836"
11241,"The Open House","2018","94","15","3.3",NULL,"36,517"
11242,"Accidental Love","2015","100","15","4.1","20","8,981"
11243,"Wake Up Sid","2009","138","PG","7.6",NULL,"33,243"
11244,"To All the Boys: P.S. I Still Love You","2020","101","PG","6.0","54","44,905"
11245,"Stargirl","2020","107","PG","6.2","61","6,056"
11246,"Willard","2003","100","15","6.1","61","20,258"
11247,"Duplicity","2009","125","12A","6.1","69","51,920"
11248,"Alien Code","2018","101","15","5.7",NULL,"3,854"
11249,"O.J.: Made in America","2016","467","18","8.9",NULL,"21,035"
11250,"A Man in Love","1987","125","18","5.8",NULL,"722"
11251,"Nathalie...","2003","106","15","6.3","69","4,998"
11252,"TinkerBell and the Secret of the Wings","2012","75","U","7.0",NULL,"13,739"
11253,"Lord of Illusions","1995","109","18","6.0",NULL,"18,977"
11254,"The Exterminating Angel","1962","95","X","8.0",NULL,"35,008"
11255,"Sunrise: A Song of Two Humans","1927","94","A","8.1","95","53,199"
11256,"Dirty Pretty Things","2002","97","15","7.3","78","43,797"
11257,"The Birthday Cake","2021","93","15","4.4","58","1,847"
11258,"A Jazzman's Blues","2022","127","15","6.7","62","4,097"
11259,"Class of 1999","1990","99","18","5.9","33","8,438"
11260,"Cop Out","2010","107","15","5.5","31","89,902"
11261,"Book of Love","2022","106","12","5.5","44","3,671"
11262,"Fade to Black","1980","102","18","6.1","54","4,893"
11263,"Beautiful Thing","1996","90","15","7.6",NULL,"25,465"
11264,"Coyote","2017","126",NULL,"7.1",NULL,"2,187"
11265,"Lullaby","2022","89","15","4.9",NULL,"2,262"
11266,"Nicholas and Alexandra","1971","189","A","7.2","57","5,440"
11267,"Ghost Ship","1952","74","A","5.3",NULL,"883"
11268,"The Bloody Judge","1970","91","AA","5.2",NULL,"1,483"
11269,"The Con Is On","2018","95","15","3.8",NULL,"8,657"
11270,"The Christmas Project","2016","92","TV-PG","5.5",NULL,"536"
11271,"The Best of Times","1986","104","15","6.0","57","8,006"
11272,"Nevada Smith","1966","128","15","6.9",NULL,"8,950"
11273,"Red Christmas","2016","82","18","4.3","52","2,296"
11274,"Paulie","1998","91","U","6.5",NULL,"16,017"
11275,"Desk Set","1957","103","U","7.2",NULL,"9,324"
11276,"The Trouble with Jessica","2023","N/A",NULL,"7.0",NULL,"11"
11277,"Halloween 5: The Revenge of Michael Myers","1989","96","18","4.9","28","46,393"
11278,"Hoffa","1992","140","15","6.6","50","24,487"
11279,"Casual Sex?","1988","97","18","5.1",NULL,"4,264"
11280,"The Rugrats Movie","1998","79","U","5.9","62","20,446"
11281,"Spetters","1980","120","R","6.6",NULL,"5,777"
11282,"The Great Muppet Caper","1981","97","U","7.1","70","16,421"
11283,"In Hell","2003","98","18","6.1",NULL,"21,174"
