"id","title","years","duration","rating","people_rating","critic_rating","votes"
192,"The Flash","2023","144","12A","6.7","55","189,800"
193,"Midsommar","2019","148","18","7.1","72","381,182"
194,"Once Upon a Time... in Hollywood","2019","161","18","7.6","83","813,414"
195,"American Fiction","2023","117","R","7.8","80","886"
196,"Uncharted","2022","116","12A","6.3","45","245,579"
197,"Elemental","2023","101","PG","7.0","58","101,553"
198,"Eyes Wide Shut","1999","159","18","7.5","69","366,131"
199,"Fast X","2023","141","12A","5.8","56","104,694"
200,"Fallen Leaves","2023","81","12A","7.6","87","5,005"
201,"Animal","2023","204","18","7.1","33","38,908"
202,"May December","2023","117","15","7.1","85","15,115"
203,"Leave the World Behind","2023","138","R","6.6","67","44,818"
204,"Godzilla Minus One","2023","124","12A","8.5","79","14,683"
205,"Napoleon","2023","158","15","6.6","64","59,922"
206,"Killers of the Flower Moon","2023","206","15","7.9","89","115,997"
207,"Candy Cane Lane","2023","117","12","5.6","47","9,207"
208,"Furiosa: A Mad Max Saga","2024","N/A",NULL,NULL,NULL,"N/A"
209,"The Hunger Games: The Ballad of Songbirds & Snakes","2023","157","12A","7.2","54","49,615"
210,"Wonka","2023","116","PG","7.5","69","7,313"
211,"Lady Ballers","2023","112","TV-14","6.3",NULL,"8,406"
212,"Poor Things","2023","141","R","8.5","88","4,684"
213,"Family Switch","2023","106","PG","5.6","37","12,614"
214,"Saltburn","2023","131","15","7.5","60","11,386"
215,"Oppenheimer","2023","180","15","8.4","89","543,779"
216,"Godzilla x Kong: The New Empire","2024","N/A",NULL,NULL,NULL,"N/A"
217,"Indiana Jones and the Dial of Destiny","2023","154","12A","6.6","58","151,330"
218,"Leo","2023","102","PG","7.0","65","18,134"
219,"Home Alone","1990","103","PG","7.7","63","624,662"
220,"The Holdovers","2023","133","R","8.1","82","18,910"
221,"The Archies","2023","141","12","6.8","65","29,050"
222,"Silent Night","2023","104","R","5.8","54","3,016"
223,"Love Actually","2003","135","15","7.6","55","513,830"
224,"National Lampoon's Christmas Vacation","1989","97","12","7.5","49","210,863"
225,"Elf","2003","97","PG","7.1","66","297,432"
226,"The Killer","2023","118","15","6.8","73","132,543"
227,"The Shift","2023","115","PG-13","6.5",NULL,"1,891"
228,"Thanksgiving","2023","106","18","6.9","63","12,470"
229,"The Boy and the Heron","2023","124","12A","7.7","92","11,439"
230,"How the Grinch Stole Christmas","2000","104","PG","6.3","46","277,997"
231,"Wish","2023","95","U","5.9","47","9,511"
232,"A Haunting in Venice","2023","103","12A","6.5","63","80,246"
233,"Barbie","2023","114","12A","7.0","80","402,533"
234,"The Super Mario Bros. Movie","2023","92","PG","7.1","46","209,880"
235,"The Creator","2023","133","12A","6.9","63","86,861"
236,"Five Nights at Freddy's","2023","109","15","5.5","33","76,432"
237,"The Marvels","2023","105","12A","5.9","50","61,892"
238,"Maestro","2023","129","15","7.3","78","2,527"
239,"The Grinch","2018","85","U","6.4","51","83,517"
240,"Violent Night","2022","112","15","6.7","55","85,245"
241,"Mad Max: Fury Road","2015","120","15","8.1","90","1,060,645"
242,"The Hunger Games","2012","142","15","7.2","68","979,623"
243,"Trolls Band Together","2023","91","U","6.0","53","6,496"
244,"Dream Scenario","2023","102","15","7.4","74","6,674"
245,"Aquaman and the Lost Kingdom","2023","124","PG-13",NULL,NULL,"N/A"
246,"The Santa Clause","1994","97","U","6.5","57","129,224"
247,"Genie","2023","93","PG","5.9","35","4,904"
248,"Rebel Moon - Part One: A Child of Fire","2023","133","15",NULL,NULL,"N/A"
249,"Die Hard","1988","132","18","8.2","72","921,912"
250,"Eileen","2023","97","15","6.7","71","1,628"
251,"Home Alone 2: Lost in New York","1992","120","PG","6.9","46","387,017"
252,"The Polar Express","2004","100","U","6.6","61","231,333"
253,"In the Land of Saints and Sinners","2023","106","R","6.1",NULL,"2,540"
254,"X","2022","105","18","6.5","79","155,788"
255,"Mr. Monk's Last Case: A Monk Movie","2023","97","TV-PG","7.3","65","1,913"
256,"Tiger 3","2023","154",NULL,"7.4",NULL,"43,264"
257,"Anyone But You","2023","100",NULL,NULL,NULL,"N/A"
258,"Freelance","2023","108","15","5.4","24","5,953"
259,"Leo","2023","164","18","7.3",NULL,"48,841"
260,"No Hard Feelings","2023","103","15","6.4","59","115,441"
261,"Spider-Man: Across the Spider-Verse","2023","140","PG","8.7","86","310,280"
262,"Mission: Impossible - Dead Reckoning Part One","2023","163","12A","7.8","81","198,966"
263,"Dune: Part Two","2024","195","PG-13",NULL,NULL,"N/A"
264,"A Christmas Story","1983","93","PG","7.9","77","163,738"
265,"There's Something in the Barn","2023","100","15","5.7",NULL,"1,297"
266,"The Holiday","2006","136","12A","6.9","52","310,008"
267,"The Silencing","2020","93","15","6.2",NULL,"31,085"
268,"The Iron Claw","2023","130",NULL,NULL,NULL,"N/A"
269,"The Batman","2022","176","15","7.8","72","748,728"
270,"Talk to Me","2022","95","15","7.1","76","109,166"
271,"Blue Beetle","2023","127","12A","6.0","61","76,508"
272,"White Christmas","1954","120","U","7.6","56","48,022"
273,"Anatomy of a Fall","2023","151","15","7.9","86","19,078"
274,"It's a Wonderful Life","1946","130","U","8.6","89","484,758"
275,"The Exorcist: Believer","2023","111","15","4.8","39","30,732"
276,"Everything Everywhere All at Once","2022","139","15","7.8","81","493,241"
277,"Interstellar","2014","169","12A","8.7","74","2,023,568"
278,"Sam Bahadur","2023","150",NULL,"8.2",NULL,"5,141"
279,"Harry Potter and the Philosopher's Stone","2001","152","PG","7.6","65","836,597"
280,"Jawan","2023","169","15","7.0",NULL,"79,653"
281,"The Colour Purple","2023","140","PG-13",NULL,NULL,"N/A"
282,"The Equalizer 3","2023","109","15","6.9","58","75,738"
283,"The Suicide Squad","2021","132","15","7.2","72","394,126"
284,"Spirited","2022","127","12A","6.6","55","45,504"
285,"Renaissance: A Film by Beyoncé","2023","169","15","8.9","86","2,231"
286,"Scott Pilgrim vs. the World","2010","112","12A","7.5","69","457,077"
287,"The Shawshank Redemption","1994","142","15","9.3","82","2,829,017"
288,"Best. Christmas. Ever!","2023","82","PG","4.3","34","7,112"
289,"Deadpool 3","2024","N/A",NULL,NULL,NULL,"N/A"
290,"Last Christmas","2019","103","12A","6.5","50","86,542"
291,"Fast Charlie","2023","90",NULL,"5.9",NULL,"1,695"
292,"Scrooged","1988","101","PG","6.9","38","111,599"
293,"Godzilla vs. Kong","2021","113","12A","6.3","59","229,711"
294,"Past Lives","2023","105","12A","8.0","94","46,603"
295,"John Wick: Chapter 4","2023","169","15","7.7","78","305,620"
296,"Dune","2021","155","12A","8.0","74","731,938"
297,"Reptile","2023","134","15","6.8","52","71,050"
298,"It's a Wonderful Knife","2023","87","R","5.3","51","2,821"
299,"Gladiator","2000","155","15","8.5","67","1,582,180"
300,"Shin Godzilla","2016","120","12A","6.8","67","32,447"
301,"Hunter Killer","2018","121","15","6.6","43","70,634"
302,"The Wolf of Wall Street","2013","180","18","8.2","75","1,534,777"
303,"The Godfather","1972","175","15","9.2","100","1,971,862"
304,"Ferrari","2023","130","15","6.6","74","1,360"
305,"I.S.S.","2023","95","R","7.0",NULL,"63"
306,"12th Fail","2023","147","12A","9.2",NULL,"9,618"
307,"The Hunger Games: Catching Fire","2013","146","12A","7.5","76","705,702"
