"id","title","genre","years","duration","rating","people_rating","critic_rating","votes"
165,"Night Swim","Horror","2024","116","PG-13",NULL,NULL,"N/A"
166,"Inception","Action","2010","148","12A","8.8","74","2,494,884"
167,"Avatar: The Way of Water","Action","2022","192","12A","7.6","67","471,155"
168,"L.A. Confidential","Crime","1997","138","18","8.2","91","606,606"
169,"The Family Plan","Action","2023","118","12",NULL,NULL,"N/A"
170,"The Family Stone","Comedy","2005","103","PG","6.3","56","72,829"
171,"The Oath","Action","2023","104","PG-13","3.3",NULL,"208"
172,"Salò, or the 120 Days of Sodom","Drama","1975","117","Rejected","5.8",NULL,"64,509"
173,"Godzilla: King of the Monsters","Action","2019","132","12A","6.0","48","198,193"
174,"The Jester","Horror","2023","90","15","4.1",NULL,"906"
175,"Black Swan","Drama","2010","108","15","8.0","79","808,051"
176,"Top Gun: Maverick","Action","2022","130","12A","8.3","78","645,896"
177,"She's the Man","Comedy","2006","105","12A","6.4","45","171,804"
178,"Babylon","Comedy","2022","189","18","7.1","61","154,401"
179,"Inglourious Basterds","Adventure","2009","153","18","8.4","69","1,544,796"
180,"Fair Play","Drama","2023","113","18","6.4","73","29,215"
181,"Nyad","Biography","2023","121","15","7.1","64","12,755"
182,"Joker 2","Crime","2024","N/A",NULL,NULL,NULL,"N/A"
183,"How the Gringo Stole Christmas","Comedy","2023","81","12","3.2",NULL,"289"
184,"Home Alone 3","Action","1997","102","PG","4.6",NULL,"124,050"
185,"Good Burger 2","Comedy","2023","90","TV-PG","5.4","48","2,213"
186,"Death on the Nile","Crime","2022","127","12A","6.3","52","179,494"
187,"Raiders of the Lost Ark","Action","1981","115","A","8.4","86","1,021,053"
188,"The Gentlemen","Action","2019","113","18","7.8","51","377,128"
189,"Pearl","Drama","2022","103","15","7.0","76","82,528"
190,"Please Don't Destroy: The Treasure of Foggy Mountain","Comedy","2023","92","15","6.1","49","4,054"
191,"Kingdom of the Planet of the Apes","Action","2024","N/A",NULL,NULL,NULL,"N/A"
192,"Django Unchained","Drama","2012","165","18","8.5","81","1,655,775"
193,"Naga","Drama","2023","111","15","4.9",NULL,"4,049"
194,"Mission Raniganj","Action","2023","134","12A","7.4",NULL,"14,526"
195,"Lucy","Action","2014","89","15","6.4","62","524,880"
196,"Bad Santa","Comedy","2003","92","15","7.1","70","151,409"
197,"Whiplash","Drama","2014","106","15","8.5","89","950,982"
198,"The Flash","Action","2023","144","12A","6.7","55","189,861"
199,"Midsommar","Drama","2019","148","18","7.1","72","381,221"
200,"Once Upon a Time... in Hollywood","Comedy","2019","161","18","7.6","83","813,470"
201,"American Fiction","Comedy","2023","117","R","7.8","80","889"
202,"Uncharted","Action","2022","116","12A","6.3","45","245,614"
203,"Elemental","Animation","2023","101","PG","7.0","58","101,610"
204,"Eyes Wide Shut","Drama","1999","159","18","7.5","69","366,144"
205,"Fast X","Action","2023","141","12A","5.8","56","104,725"
206,"Fallen Leaves","Comedy","2023","81","12A","7.6","87","5,034"
207,"The Hunger Games: Mockingjay - Part 2","Action","2015","137","12A","6.5","65","360,500"
208,"The Muppet Christmas Carol","Comedy","1992","85","U","7.8","64","66,486"
209,"The Three Musketeers: D'Artagnan","Action","2023","121","15","6.7","78","14,811"
210,"All of Us Strangers","Drama","2023","105","R",NULL,"91","N/A"
211,"The Menu","Comedy","2022","107","15","7.2","71","364,646"
212,"The Nightmare Before Christmas","Animation","1993","76","PG","7.9","82","367,847"
213,"Jack Frost","Comedy","1998","101","PG","5.4","40","39,701"
214,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure","2005","143","PG","6.9","75","419,542"
215,"The Christmas Chronicles","Adventure","2018","104","PG","7.0","52","80,432"
216,"Expend4bles","Action","2023","103","15","4.8","30","26,881"
217,"Triangle of Sadness","Comedy","2022","147","15","7.3","63","162,381"
218,"GoodFellas","Biography","1990","145","18","8.7","92","1,229,647"
219,"Thank You for Coming","Comedy","2023","119","15","4.9","68","7,675"
220,"Silver and the Book of Dreams","Drama","2023","92",NULL,"5.4",NULL,"722"
221,"The Northman","Action","2022","137","15","7.0","82","241,746"
