id,title,genre,years,duration,rating,people_rating,critic_rating,votes
264,Blade Runner,Action,1982,117,R,8.1,84,"808,311"
265,Forrest Gump,Drama,1994,142,PG-13,8.8,82,"2,204,651"
266,Beau Is Afraid,Comedy,2023,179,R,6.8,63,"47,990"
267,Infinity Pool,Crime,2023,117,R,6,72,"48,328"
268,Eight Crazy Nights,Animation,2002,76,PG-13,5.3,23,"24,843"
269,Scrapper,Comedy,2023,84,Not Rated,7,74,"3,053"
270,Civil War,Action,R,N/A,,,,N/A
271,The Notebook,Drama,2004,123,PG-13,7.8,53,"604,917"
272,Chicken Run: Dawn of the Nugget,Animation,2023,101,PG,7.3,62,369
273,The Abyss,Adventure,1989,140,PG-13,7.5,62,"187,912"
274,Promising Young Woman,Crime,2020,113,R,7.5,72,"200,464"
275,Hypnotic,Action,2023,93,R,5.5,53,"27,006"
276,Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,2023,99,PG,7.2,74,"51,661"
277,Man of Steel,Action,2013,143,PG-13,7.1,55,"801,731"
278,The Night Before,Comedy,2015,101,R,6.4,58,"80,502"
279,Kong: Skull Island,Action,2017,118,PG-13,6.7,62,"339,249"
280,Good Will Hunting,Drama,1997,126,R,8.3,70,"1,034,159"
281,BlackBerry,Biography,2023,120,R,7.4,78,"29,127"
282,Nosferatu,Fantasy,2024,N/A,,,,N/A
283,Spirited Away,Animation,2001,125,PG,8.6,96,"822,853"
284,Tombstone,Biography,1993,130,R,7.8,50,"161,708"
285,Saving Private Ryan,Drama,1998,169,R,8.6,91,"1,466,109"
286,John Wick,Action,2014,101,R,7.4,68,"722,157"
287,Meg 2: The Trench,Action,2023,116,PG-13,5,40,"66,793"
288,How to Have Sex,Drama,2023,91,,7.1,80,"2,089"
289,Fred Claus,Comedy,2007,116,PG,5.7,42,"46,654"
290,Mad Max,Action,1979,88,R,6.8,73,"218,072"
291,The Prestige,Drama,2006,130,PG-13,8.5,66,"1,411,862"
292,Harry Potter and the Deathly Hallows: Part 2,Adventure,2011,130,PG-13,8.1,85,"927,881"
293,No Country for Old Men,Crime,2007,122,R,8.2,92,"1,035,398"
294,Hereditary,Drama,2018,127,R,7.3,87,"363,485"
295,Good Grief,Comedy,2023,100,R,,,N/A
296,The Killing of a Sacred Deer,Drama,2017,121,R,7,73,"173,262"
297,Deck the Halls,Comedy,2006,93,PG,5,28,"31,828"
298,Your Christmas or Mine 2,Comedy,2023,101,,5.8,,859
299,Nativity!,Comedy,2009,105,PG,6.4,,"11,938"
300,Troy,Drama,2004,163,R,7.3,56,"560,706"
301,The Burial,Drama,2023,126,R,7.1,74,"25,388"
302,Strays,Adventure,2023,93,R,6.3,54,"21,656"
303,National Lampoon's Vacation,Adventure,1983,98,R,7.3,55,"117,966"
304,Back to the Future,Adventure,1985,116,PG,8.5,87,"1,278,356"
305,Nowhere,Drama,2023,109,TV-MA,6.3,,"28,228"
306,Race for Glory: Audi vs. Lancia,Biography,2024,N/A,,,,N/A
307,Murder on the Orient Express,Crime,2017,114,PG-13,6.5,52,"284,952"
308,Alien: Covenant,Horror,2017,122,R,6.4,65,"298,149"
309,A Serbian Film,Horror,2010,104,NC-17,5,,"69,888"
310,Alien: Romulus,Horror,2024,N/A,,,,N/A
311,Elvis,Biography,2022,159,PG-13,7.3,64,"220,919"
312,"Are You There God? It''s Me, Margaret.",Comedy,2023,106,PG-13,7.3,84,"18,988"
313,Love Story,Drama,1970,100,PG,6.9,84,"36,619"
314,Theater Camp,Comedy,2023,92,PG-13,7,70,"11,726"
315,The Princess Bride,Adventure,1987,98,PG,8,78,"444,343"
316,Aliens,Action,1986,137,R,8.4,84,"750,116"
317,Holidate,Comedy,2020,104,TV-MA,6.1,44,"75,899"
318,Totally Killer,Comedy,2023,106,R,6.5,62,"41,136"
